name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
paris,2022-01-16,5.2,-1.1,1.7,3.8,-4.2,-0.8,0.8,93.4,0.516,100,12.5,rain,0,0,30.3,13.4,221.8,1030.3,99.2,6.5,18.7,1.5,1,10,2022-01-16T08:38:12,2022-01-16T17:23:01,0.49,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"07149099999,07156099999,07146099999,E3042,07157099999,07147099999,07150099999"
paris,2022-01-17,7.5,4,5.8,6.9,2.7,5,4.3,90.3,0,0,0,,0,0,18.2,7.7,304.9,1037.5,84.7,9.8,20.8,1.8,1,10,2022-01-17T08:37:26,2022-01-17T17:24:29,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,E3042,07157099999,07147099999,07150099999"
paris,2022-01-18,9.4,2.2,5.1,7.3,-0.8,3,2.8,85.6,0.144,100,4.17,rain,0,0,38.5,15.2,63.9,1036.5,54.3,12.7,40.5,3.4,3,10,2022-01-18T08:36:36,2022-01-18T17:25:57,0.5,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,"07149099999,07156099999,07146099999,E3042,07157099999,07147099999,07150099999"
paris,2022-01-19,6.4,4.3,5.5,4.6,2.8,3.6,3.4,86.2,1.143,100,12.5,rain,0,0,29.9,13.4,261.3,1028.9,98.7,12.1,15.3,1.3,1,10,2022-01-19T08:35:45,2022-01-19T17:27:27,0.52,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"07149099999,07156099999,07146099999,07145099999,E3042,07157099999,07147099999,07150099999"
paris,2022-01-20,6.9,3.2,5,4.9,0.3,2.2,2.1,81.7,0.152,100,4.17,rain,0,0,40.9,18.9,356.8,1032.8,71.7,19.3,44.3,3.8,2,10,2022-01-20T08:34:50,2022-01-20T17:28:58,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"07149099999,07156099999,07146099999,07145099999,E3042,07157099999,07147099999,07150099999"
paris,2022-01-21,5.6,2.4,4,3.7,-1.3,1.1,1,81.4,0,0,0,,0,0,38.3,17.3,358.9,1038,82.9,20.4,29,2.4,1,10,2022-01-21T08:33:54,2022-01-21T17:30:30,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,E3042,07157099999,07147099999,07150099999"
paris,2022-01-22,6.2,4.7,5.2,4.9,1.9,3.4,1.4,76.2,0,0,0,,0,0,29.7,13.9,350.8,1037.8,98.8,17.7,25.4,2.3,1,10,2022-01-22T08:32:55,2022-01-22T17:32:03,0.6,Overcast,Cloudy skies throughout the day.,cloudy,"07149099999,07156099999,07146099999,E3042,07157099999,07147099999,07150099999"
paris,2022-01-23,4.7,3,4.1,2.9,0.4,1.7,1.5,83.1,0,0,0,,0,0,27.8,13.3,85.3,1035.4,91.6,13.9,13.8,1.1,0,10,2022-01-23T08:31:53,2022-01-23T17:33:36,0.65,Overcast,Cloudy skies throughout the day.,cloudy,"07149099999,07156099999,07146099999,E3042,07157099999,07147099999,07150099999"
paris,2022-01-24,7,0.2,3.2,5.2,-2.4,1.2,0.3,82,0,0,0,,0,0,23.9,11.4,102.2,1032.4,0,11.1,48.6,4.1,3,10,2022-01-24T08:30:49,2022-01-24T17:35:11,0.7,Clear,Clear conditions throughout the day.,clear-day,"07149099999,07156099999,07146099999,E3042,07157099999,07147099999,07150099999"
paris,2022-01-25,1.6,-1.3,0.2,1.5,-3.9,-0.8,-0.4,96,0,0,0,,0,0,13.4,7.1,239.9,1034.1,57.9,2.1,30.8,2.6,1,10,2022-01-25T08:29:43,2022-01-25T17:36:46,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,E3042,07145099999,07157099999,07147099999,07150099999"
paris,2022-01-26,3.5,-0.1,2,3.3,-3.8,0.4,0.1,87.8,0,0,0,,0,0,20.8,11.7,330,1035.5,100,5.9,18.7,1.6,1,10,2022-01-26T08:28:34,2022-01-26T17:38:22,0.81,Overcast,Cloudy skies throughout the day.,cloudy,"07149099999,07156099999,07146099999,E3042,07157099999,07147099999,07150099999"
paris,2022-01-27,7.1,2.5,4.7,5.6,-0.3,2.4,2.6,86.5,0.039,100,12.5,rain,0,0,26.6,14.1,229.7,1032.7,98.8,6.2,26,2.1,1,10,2022-01-27T08:27:24,2022-01-27T17:39:58,0.86,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"07149099999,07156099999,07146099999,E3042,07145099999,07157099999,07147099999,07150099999"
paris,2022-01-28,7.7,6.2,6.8,7,3.6,5.5,5.2,89.8,0,0,0,,0,0,26.3,12.7,241.3,1037,96.8,8.7,27.3,2.3,1,10,2022-01-28T08:26:11,2022-01-28T17:41:35,0.91,Overcast,Cloudy skies throughout the day.,cloudy,"07149099999,07156099999,07146099999,E3042,07157099999,07147099999,07150099999"
paris,2022-01-29,10.4,6.1,8.5,10.4,3.7,6.9,6.9,89.6,0.013,100,8.33,rain,0,0,42.8,17.2,261,1033.7,99.2,16.9,19.2,1.7,1,10,2022-01-29T08:24:56,2022-01-29T17:43:12,0.95,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"07149099999,07156099999,07146099999,E3042,07157099999,07147099999,07150099999"
paris,2022-01-30,9.6,6.6,8.3,9.6,4.4,7.1,3.6,73,0.027,100,12.5,rain,0,0,26.5,11.6,324.4,1031.5,74.9,20.9,45.8,4.3,3,10,2022-01-30T08:23:38,2022-01-30T17:44:50,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"07149099999,07156099999,07146099999,E3042,07157099999,07147099999,07150099999"
paris,2022-01-31,8.3,3.7,6.9,5,1.2,3.7,0.6,65.4,0.717,100,20.83,rain,0,0,66.7,31.9,316.3,1023.8,69.2,23,45.3,4,2,10,2022-01-31T08:22:19,2022-01-31T17:46:28,1,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"07149099999,07156099999,07146099999,E3042,07157099999,07147099999,07150099999"
paris,2022-02-01,10.8,2.5,6.9,10.8,-0.3,4.7,4.5,84.8,0.527,100,12.5,rain,0,0,49.4,22.3,275.4,1025.5,90.7,18.7,17.5,1.5,1,10,2022-02-01T08:20:58,2022-02-01T17:48:07,0,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"07149099999,07156099999,07146099999,E3042,07157099999,07147099999,07150099999"
paris,2022-02-02,11.1,9,10.1,11.1,7.6,9.6,6.9,80.8,0.014,100,4.17,rain,0,0,46.7,20.1,285.5,1025.3,98,24,33.7,2.8,2,10,2022-02-02T08:19:35,2022-02-02T17:49:46,0.01,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"07149099999,07156099999,07146099999,E3042,07157099999,07147099999,07150099999"
paris,2022-02-03,8.7,7,7.7,7.6,4.1,5.7,4.1,78.1,0,0,0,rain,0,0,34.6,16.1,233.1,1020,98.9,21.9,21.3,2,1,10,2022-02-03T08:18:10,2022-02-03T17:51:25,0.03,Overcast,Cloudy skies throughout the day.,cloudy,"07149099999,07156099999,07146099999,E3042,07157099999,07147099999,07150099999"
paris,2022-02-04,11.1,4.9,7.4,11.1,2.3,5.2,4.8,83.8,0.844,100,16.67,rain,0,0,55.5,23.4,248.5,1017.2,79.5,18.2,37,3.1,2,10,2022-02-04T08:16:43,2022-02-04T17:53:04,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"07149099999,07156099999,07146099999,E3042,07157099999,07147099999,07150099999"
paris,2022-02-05,10,1.6,6.1,10,-0.4,3.9,1.7,74.1,0,0,0,,0,0,37.4,18.5,252.5,1025.4,43.8,22.9,75.3,6.6,4,10,2022-02-05T08:15:15,2022-02-05T17:54:43,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,E3042,07157099999,07147099999,07150099999"
paris,2022-02-06,10.8,7.2,8.9,10.8,3.8,6.8,6.3,83.7,5.882,100,45.83,rain,0,0,65.4,30.4,248.9,1017,98.3,19.8,17,1.5,1,10,2022-02-06T08:13:45,2022-02-06T17:56:23,0.15,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"07149099999,07156099999,07146099999,E3042,07157099999,07147099999,07150099999"
paris,2022-02-07,10,5.3,7.6,8.2,3,5.5,1.6,66.5,0.339,100,8.33,rain,0,0,59.4,22.8,300.4,1027.6,32.9,23.6,70,6.5,4,10,2022-02-07T08:12:13,2022-02-07T17:58:02,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"07149099999,07156099999,07146099999,E3042,07157099999,07147099999,07150099999"
paris,2022-02-08,11.1,5.4,8.3,11.1,4.3,7.4,5.3,81.4,0,0,0,,0,0,27.4,13.3,227,1032.8,93,22.3,24.4,2.1,1,10,2022-02-08T08:10:39,2022-02-08T17:59:42,0.25,Overcast,Cloudy skies throughout the day.,cloudy,"07149099999,07156099999,07146099999,E3042,07157099999,07147099999,07150099999"
paris,2022-02-09,12.7,2.7,7.2,12.7,2.1,6.5,3.9,81.3,0,0,0,,0,0,18.9,9.2,186.3,1027.4,23.9,14.1,63.9,5.8,4,10,2022-02-09T08:09:04,2022-02-09T18:01:21,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,E3042,07157099999,07147099999,07150099999"
paris,2022-02-10,10,5.1,7.3,8.4,2.1,5.2,4.7,84,0.946,100,20.83,rain,0,0,35.7,20.4,272.4,1024.5,98.3,14.5,33.1,2.8,2,10,2022-02-10T08:07:27,2022-02-10T18:03:01,0.34,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"07149099999,07156099999,07146099999,E3042,07157099999,07147099999,07150099999"
paris,2022-02-11,8.5,2.5,5,8.5,0.3,3.5,1.1,76.9,0,0,0,,0,0,27.1,12.7,323.1,1032.7,41.1,19.7,71.6,6.5,3,10,2022-02-11T08:05:49,2022-02-11T18:04:40,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07145099999,E3042,07157099999,07147099999,07150099999"
paris,2022-02-12,9,0.3,4.1,7.4,-2.6,1.9,-1.9,67.6,0,0,0,,0,0,35,16.1,154.4,1027.7,53.3,19.8,87.3,7.8,4,10,2022-02-12T08:04:09,2022-02-12T18:06:19,0.42,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"07149099999,07156099999,07146099999,E3042,07157099999,07147099999,07150099999"
paris,2022-02-13,13.9,0.1,6.8,13.9,-3.5,5,1.2,68.7,0,0,0,,0,0,52.5,24.2,189.2,1012.3,64.9,21.7,75,6.7,3,10,2022-02-13T08:02:28,2022-02-13T18:07:59,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,E3042,07157099999,07147099999,07150099999"
