date,pm25,pm10,o3,no2,so2,co,AQI
2022/9/10,33.0,23.0,32.0,24.0,0.0,0.0,33.0
2022/9/11,55.0,24.0,34.0,32.0,0.0,0.0,55.0
2022/9/12,49.0,38.0,26.0,37.0,0.0,0.0,49.0
2022/9/13,55.0,27.0,30.0,24.0,0.0,0.0,55.0
2022/9/14,45.0,22.0,33.0,17.0,0.0,0.0,45.0
2022/9/15,42.0,23.0,24.0,17.0,0.0,0.0,42.0
2022/9/16,36.0,19.0,25.0,14.0,0.0,0.0,36.0
2022/9/17,29.0,20.0,28.0,16.0,0.0,0.0,29.0
2022/9/18,32.0,23.0,0.0,23.0,0.0,0.0,32.0
2022/9/19,36.0,30.0,19.0,29.0,0.0,0.0,36.0
2022/9/20,52.0,33.0,28.0,30.0,0.0,0.0,52.0
2022/9/21,53.0,39.0,28.0,38.0,0.0,0.0,53.0
2022/9/22,54.0,51.0,23.0,46.0,0.0,0.0,54.0
2022/9/23,76.0,23.0,25.0,28.0,0.0,0.0,76.0
2022/9/24,51.0,19.0,24.0,16.0,0.0,0.0,51.0
2022/9/25,35.0,19.0,22.0,18.0,0.0,0.0,35.0
2022/9/26,30.0,22.0,24.0,19.0,0.0,0.0,30.0
2022/9/27,38.0,18.0,20.0,19.0,0.0,0.0,38.0
2022/9/28,32.0,26.0,14.0,27.0,0.0,0.0,32.0
2022/9/29,49.0,34.0,27.0,28.0,0.0,0.0,49.0
2022/9/30,66.0,20.0,27.0,20.0,0.0,0.0,66.0
2022/8/1,33.0,24.0,39.0,22.0,0.0,0.0,39.0
2022/8/2,43.0,30.0,54.0,34.0,0.0,0.0,54.0
2022/8/3,54.0,27.0,27.0,15.0,0.0,0.0,54.0
2022/8/4,41.0,28.0,38.0,15.0,0.0,0.0,41.0
2022/8/5,41.0,19.0,34.0,21.0,0.0,0.0,41.0
2022/8/6,31.0,19.0,42.0,22.0,0.0,0.0,42.0
2022/8/7,36.0,26.0,46.0,24.0,0.0,0.0,46.0
2022/8/8,43.0,38.0,56.0,25.0,0.0,0.0,56.0
2022/8/9,48.0,35.0,52.0,30.0,0.0,0.0,52.0
2022/8/10,52.0,38.0,56.0,39.0,0.0,0.0,56.0
2022/8/11,58.0,37.0,57.0,38.0,0.0,0.0,58.0
2022/8/12,59.0,22.0,46.0,28.0,0.0,0.0,59.0
2022/8/13,45.0,23.0,41.0,19.0,0.0,0.0,45.0
2022/8/14,51.0,22.0,45.0,16.0,0.0,0.0,51.0
2022/8/15,53.0,35.0,42.0,35.0,0.0,0.0,53.0
2022/8/16,62.0,29.0,34.0,28.0,0.0,0.0,62.0
2022/8/17,59.0,31.0,44.0,23.0,0.0,0.0,59.0
2022/8/18,62.0,21.0,33.0,11.0,0.0,0.0,62.0
2022/8/19,40.0,18.0,0.0,9.0,0.0,0.0,40.0
2022/8/20,40.0,21.0,0.0,21.0,0.0,0.0,40.0
2022/8/21,47.0,21.0,0.0,18.0,0.0,0.0,47.0
2022/8/22,40.0,24.0,29.0,24.0,0.0,0.0,40.0
2022/8/23,46.0,25.0,40.0,33.0,0.0,0.0,46.0
2022/8/24,46.0,36.0,51.0,32.0,0.0,0.0,51.0
2022/8/25,54.0,22.0,34.0,15.0,0.0,0.0,54.0
2022/8/26,38.0,20.0,37.0,21.0,0.0,0.0,38.0
2022/8/27,41.0,24.0,37.0,23.0,0.0,0.0,41.0
2022/8/28,47.0,28.0,44.0,27.0,0.0,0.0,47.0
2022/8/29,47.0,29.0,46.0,25.0,0.0,0.0,47.0
2022/8/30,53.0,40.0,49.0,22.0,0.0,0.0,53.0
2022/8/31,54.0,34.0,43.0,34.0,0.0,0.0,54.0
2022/7/1,33.0,27.0,38.0,29.0,0.0,0.0,38.0
2022/7/2,43.0,49.0,30.0,13.0,0.0,0.0,49.0
2022/7/3,30.0,32.0,37.0,17.0,0.0,0.0,37.0
2022/7/4,34.0,35.0,36.0,15.0,0.0,0.0,36.0
2022/7/5,36.0,41.0,33.0,18.0,0.0,0.0,41.0
2022/7/6,40.0,38.0,21.0,10.0,0.0,0.0,40.0
2022/7/7,36.0,50.0,35.0,7.0,0.0,0.0,50.0
2022/7/8,36.0,48.0,41.0,16.0,0.0,0.0,48.0
2022/7/9,47.0,41.0,26.0,17.0,0.0,0.0,47.0
2022/7/10,37.0,21.0,20.0,23.0,0.0,0.0,37.0
2022/7/11,39.0,28.0,51.0,38.0,0.0,0.0,51.0
2022/7/12,51.0,41.0,54.0,39.0,0.0,0.0,54.0
2022/7/13,59.0,32.0,48.0,17.0,0.0,0.0,59.0
2022/7/14,57.0,25.0,36.0,21.0,0.0,0.0,57.0
2022/7/15,39.0,28.0,47.0,7.0,0.0,0.0,47.0
2022/7/16,52.0,24.0,46.0,8.0,0.0,0.0,52.0
2022/7/17,44.0,35.0,72.0,25.0,0.0,0.0,72.0
2022/7/18,63.0,52.0,59.0,48.0,0.0,0.0,63.0
2022/7/19,78.0,37.0,35.0,22.0,0.0,0.0,78.0
2022/7/20,76.0,28.0,39.0,19.0,0.0,0.0,76.0
2022/7/21,54.0,38.0,29.0,23.0,0.0,0.0,54.0
2022/7/22,64.0,36.0,42.0,18.0,0.0,0.0,64.0
2022/7/23,66.0,29.0,45.0,24.0,0.0,0.0,66.0
2022/7/24,56.0,26.0,27.0,18.0,0.0,0.0,56.0
2022/7/25,43.0,22.0,31.0,14.0,0.0,0.0,43.0
2022/7/26,35.0,23.0,35.0,24.0,0.0,0.0,35.0
2022/7/27,38.0,24.0,43.0,26.0,0.0,0.0,43.0
2022/7/28,43.0,29.0,48.0,32.0,0.0,0.0,48.0
2022/7/29,51.0,26.0,48.0,22.0,0.0,0.0,51.0
2022/7/30,48.0,15.0,25.0,9.0,0.0,0.0,48.0
2022/7/31,31.0,19.0,26.0,12.0,0.0,0.0,31.0
2022/6/1,46.0,43.0,41.0,33.0,0.0,0.0,46.0
2022/6/2,44.0,40.0,26.0,41.0,0.0,0.0,44.0
2022/6/3,56.0,39.0,36.0,30.0,0.0,0.0,56.0
2022/6/4,58.0,24.0,28.0,18.0,0.0,0.0,58.0
2022/6/5,47.0,17.0,31.0,14.0,0.0,0.0,47.0
2022/6/6,27.0,18.0,27.0,22.0,0.0,0.0,27.0
2022/6/7,35.0,26.0,25.0,20.0,0.0,0.0,35.0
2022/6/8,35.0,24.0,27.0,17.0,0.0,0.0,35.0
2022/6/9,36.0,26.0,24.0,23.0,0.0,0.0,36.0
2022/6/10,40.0,24.0,30.0,17.0,0.0,0.0,40.0
2022/6/11,40.0,24.0,34.0,13.0,0.0,0.0,40.0
2022/6/12,34.0,34.0,37.0,17.0,0.0,0.0,37.0
2022/6/13,41.0,37.0,47.0,36.0,0.0,0.0,47.0
2022/6/14,49.0,39.0,67.0,34.0,0.0,0.0,67.0
2022/6/15,57.0,47.0,65.0,40.0,0.0,0.0,65.0
2022/6/16,56.0,43.0,68.0,42.0,0.0,0.0,68.0
2022/6/17,60.0,56.0,53.0,44.0,0.0,0.0,60.0
2022/6/18,71.0,57.0,32.0,17.0,0.0,0.0,71.0
2022/6/19,63.0,31.0,32.0,19.0,0.0,0.0,63.0
2022/6/20,57.0,43.0,42.0,30.0,0.0,0.0,57.0
2022/6/21,57.0,36.0,40.0,29.0,0.0,0.0,57.0
2022/6/22,64.0,30.0,41.0,30.0,0.0,0.0,64.0
2022/6/23,53.0,28.0,33.0,21.0,0.0,0.0,53.0
2022/6/24,35.0,20.0,29.0,21.0,0.0,0.0,35.0
2022/6/25,36.0,28.0,31.0,23.0,0.0,0.0,36.0
2022/6/26,38.0,27.0,30.0,22.0,0.0,0.0,38.0
2022/6/27,38.0,29.0,41.0,29.0,0.0,0.0,41.0
2022/6/28,38.0,33.0,32.0,26.0,0.0,0.0,38.0
2022/6/29,44.0,20.0,20.0,20.0,0.0,0.0,44.0
2022/6/30,38.0,20.0,28.0,21.0,0.0,0.0,38.0
2022/5/1,56.0,55.0,39.0,26.0,0.0,0.0,56.0
2022/5/2,72.0,53.0,40.0,22.0,0.0,0.0,72.0
